period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2020-12,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,193,MMBtu per Mcf,207,18.09,19.96,193,Mcf,207,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-05,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,494,MMBtu per Mcf,524,45.22,50.21,494,Mcf,524,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-03,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-05,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-10,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,369,MMBtu per Mcf,391,34.46,37.83,369,Mcf,391,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-08,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-10,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,4668,MMBtu per Mcf,4995,439.54,484.3,4668,Mcf,4995,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-11,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,483,MMBtu per Mcf,517,45.03,49.81,483,Mcf,517,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-03,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,4371,MMBtu per Mcf,4677,401.84,447.65,4371,Mcf,4677,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-02,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1219,MMBtu per Mcf,1304,112.08,123.97,1219,Mcf,1304,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-04,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,6616,MMBtu per Mcf,7145,605.45,678.85,6616,Mcf,7145,1.08,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-08,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1209,MMBtu per Mcf,1306,114.02,126.98,1209,Mcf,1306,1.08,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-04,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1180,MMBtu per Mcf,1263,110.92,122.41,1180,Mcf,1263,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-03,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1206,MMBtu per Mcf,1278,110.85,122.77,1206,Mcf,1278,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-11,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-12,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-04,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,2330,MMBtu per Mcf,2516,218.68,243.19,2330,Mcf,2516,1.08,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-02,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1759,MMBtu per Mcf,1882,162.82,179.67,1759,Mcf,1882,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-09,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-02,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,121,MMBtu per Mcf,128,11.14,12.31,121,Mcf,128,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-01,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1,MMBtu per Mcf,1,.09,.11,1,Mcf,1,1.08,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-05,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,139,MMBtu per Mcf,153,13.33,14.89,139,Mcf,153,1.1,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-09,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-05,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-09,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,3830,MMBtu per Mcf,4098,354.65,394.24,3830,Mcf,4098,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-06,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,2720,MMBtu per Mcf,2910,253.11,281.23,2720,Mcf,2910,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-12,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-06,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,3113,MMBtu per Mcf,3300,285.13,316.88,3113,Mcf,3300,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-04,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,2334,MMBtu per Mcf,2544,220.56,244.23,2334,Mcf,2544,1.09,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-10,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,2074,MMBtu per Mcf,2240,195.09,215.76,2074,Mcf,2240,1.08,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-01,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-07,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,80,MMBtu per Mcf,85,7.37,8.18,80,Mcf,85,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-02,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-09,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,2728,MMBtu per Mcf,2946,261.14,289.7,2728,Mcf,2946,1.08,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2021-10,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,708,MMBtu per Mcf,758,66.97,73.71,708,Mcf,758,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-07,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1,MMBtu per Mcf,1,.09,.1,1,Mcf,1,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-07,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,926,MMBtu per Mcf,982,85.17,94.6,926,Mcf,982,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-08,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,2566,MMBtu per Mcf,2746,235.98,263.14,2566,Mcf,2746,1.07,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-12,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1072,MMBtu per Mcf,1158,102.1,112.43,1072,Mcf,1158,1.08,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-06,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1119,MMBtu per Mcf,1175,102.96,114.02,1119,Mcf,1175,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2022-01,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,4003,MMBtu per Mcf,4363,374.57,414.71,4003,Mcf,4363,1.09,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2019-08,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,2374,MMBtu per Mcf,2516,215.73,239.24,2374,Mcf,2516,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
2020-06,56596,Wygen III,NG,Natural Gas,WY,Wyoming,ALL,1511,MMBtu per Mcf,1602,139.49,157.88,1511,Mcf,1602,1.06,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-105.3806,44.2919000000001,4749.0,15913.0,56596.0,Wygen III,19545.0,"Black Hills Power, Inc.",Electric Utility,20 Wyodak Road,Gillette,Campbell,Wyoming,82718.0,coal,Coal = 100 MW,Conventional Steam Coal,116.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-105.3806,44.2919
