period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
2021-06,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,724617,MMBtu per Mcf,759399,102000,102000,724617,Mcf,759399,1.048,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-11,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,817803,MMBtu per Mcf,840701,88191,89934,817803,Mcf,840701,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2020-03,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,769010,MMBtu per Mcf,787466,111126,112165,769010,Mcf,787466,1.024,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2020-12,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,558233,MMBtu per Mcf,583912,64735,66652,558233,Mcf,583912,1.046,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2023-05,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,871587,MMBtu per Mcf,898606,121939,125323,871587,Mcf,898606,1.031,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2021-04,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,401702,MMBtu per Mcf,413351,51898,51898,401702,Mcf,413351,1.029,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-04,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,898540,MMBtu per Mcf,934482,125948,128802,898540,Mcf,934482,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2023-10,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,880451,MMBtu per Mcf,904223,124833,128293,880451,Mcf,904223,1.027,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-07,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,898139,MMBtu per Mcf,923287,115776,118883,898139,Mcf,923287,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-08,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,986059,MMBtu per Mcf,1025501,141237,145226,986059,Mcf,1025501,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2020-01,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,267019,MMBtu per Mcf,276098,29637,30912,267019,Mcf,276098,1.034,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-09,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,451726,MMBtu per Mcf,465730,64579,66798,451726,Mcf,465730,1.031,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2021-12,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,284102,MMBtu per Mcf,294046,25582,26602,284102,Mcf,294046,1.035,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-06,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,407985,MMBtu per Mcf,420225,53177,55435,407985,Mcf,420225,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2021-09,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,374405,MMBtu per Mcf,389381,41044,42465,374405,Mcf,389381,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2023-04,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,862686,MMBtu per Mcf,879940,120921,124126,862686,Mcf,879940,1.02,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-05,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,0,MMBtu per Mcf,0,0,0,0,Mcf,0,0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-05,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,143295,MMBtu per Mcf,147594,19303,20219,143295,Mcf,147594,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-12,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,996264,MMBtu per Mcf,1028144,123046,125455,996264,Mcf,1028144,1.032,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2021-05,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,349538,MMBtu per Mcf,362471,50505,50505,349538,Mcf,362471,1.037,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2023-02,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,885118,MMBtu per Mcf,912557,126891,129929,885118,Mcf,912557,1.031,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2021-10,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,31506,MMBtu per Mcf,32798,2580,2632,31506,Mcf,32798,1.041,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-12,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,656568,MMBtu per Mcf,678891,86265,88512,656568,Mcf,678891,1.034,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-06,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,214875,MMBtu per Mcf,221106,25430,28630,214875,Mcf,221106,1.029,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2020-02,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,363417,MMBtu per Mcf,375410,45098,47904,363417,Mcf,375410,1.033,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-10,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,4024,MMBtu per Mcf,4145,309,319,4024,Mcf,4145,1.03,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-01,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,480114,MMBtu per Mcf,498358,71030,78083,480114,Mcf,498358,1.038,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2020-04,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,567434,MMBtu per Mcf,583322,75633,77969,567434,Mcf,583322,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-02,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,290144,MMBtu per Mcf,303491,38572,40624,290144,Mcf,303491,1.046,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2020-08,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,978842,MMBtu per Mcf,1017017,136838,140753,978842,Mcf,1017017,1.039,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2020-07,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,754635,MMBtu per Mcf,775765,102586,105671,754635,Mcf,775765,1.028,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2023-01,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,1034786,MMBtu per Mcf,1062725,142670,145822,1034786,Mcf,1062725,1.027,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2021-03,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,188504,MMBtu per Mcf,197175,19816,23205,188504,Mcf,197175,1.046,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2023-03,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,702402,MMBtu per Mcf,719962,92814,95254,702402,Mcf,719962,1.025,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-03,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,508322,MMBtu per Mcf,521030,57887,59570,508322,Mcf,521030,1.025,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2021-11,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,288848,MMBtu per Mcf,299824,30893,31786,288848,Mcf,299824,1.038,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-09,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,842794,MMBtu per Mcf,874820,116744,119985,842794,Mcf,874820,1.038,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2019-11,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,464942,MMBtu per Mcf,480750,59874,61935,464942,Mcf,480750,1.034,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-07,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,859020,MMBtu per Mcf,887368,117023,120545,859020,Mcf,887368,1.033,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
2022-01,55210,Afton Generating Station,NG,Natural Gas,NM,New Mexico,ALL,332085,MMBtu per Mcf,344704,36811,38270,332085,Mcf,344704,1.038,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-106.846483,32.1141850000001,2647.0,15190.0,55210.0,Afton Generating Station,15473.0,Public Service Co of NM,Electric Utility,10100 West Afton Road,La Mesa,Dona Ana,New Mexico,88044.0,natural gas,Natural Gas = 238.6 MW,Natural Gas Fired Combined Cycle,287.0,238.6,0.0,0.0,0.0,0.0,0.0,0.0,238.6,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-106.846483,32.114185
